ADD TYG 567,3 25235 725182
SEARCH NOM 902,4 14951 222351
REMOVE OVO 717,5 24406 72295
ADD XLN 832,2 22326 933657
UPDATE ASC GXI 72,0 43352 335248
SEARCH HRR 796,2 95697 883232
ADD MWE 454,6 63019 452386
ADD JVD 779,8 12418 522305
SEARCH OYQ 347,4 53877 478146
SEARCH XSQ 224,0 16209 173001
REMOVE CKZ 465,1 44151 863569
SEARCH VCG 250,0 74644 996518
ADD JMP 3,2 72705 855047
UPDATE ZPV SBB 31,4 66720 656531
ADD QCY 658,3 22113 207616
SEARCH BCN 824,0 14290 789338
REMOVE EOD 671,1 31160 99723
UPDATE EEI CBC 53,3 77512 456482
ADD ZVH 217,3 35419 506468
UPDATE HXS YIZ 68,7 31685 894016
SEARCH WWZ 15,7 73943 767975
ADD LLW 159,3 7738 199938
REMOVE AWS 21,7 81979 984374
UPDATE UIR GLX 62,6 19031 393667
UPDATE FBF YVK 100,0 53555 985765
REMOVE XPX 221,7 22678 323755
ADD YVI 331,2 53919 909650
REMOVE BLG 850,2 60890 501426
UPDATE AIV FZH 19,5 8570 892468
UPDATE RDJ RRZ 68,3 6279 478289
ADD CTG 872,2 32884 327814
REMOVE PEK 678,6 67695 58220
REMOVE LBS 158,2 82005 280798
REMOVE RLR 473,8 3376 62816
ADD JYL 294,8 51483 599048
REMOVE SMK 744,8 1104 824285
REMOVE NMJ 874,6 5563 947822
SEARCH FWO 270,5 36603 470332
REMOVE QOE 5,9 5384 551439
ADD VEK 195,7 39141 77857
ADD WQB 71,5 3571 392088
SEARCH AZC 888,5 76048 837994
UPDATE WZM THC 82,9 56037 679447
ADD AQD 992,7 14422 328866
ADD RDW 910,8 51813 590251
UPDATE MPT FDD 82,7 1036 43153
ADD ISI 408,0 28050 379672
UPDATE NGH OVX 45,9 46756 675745
ADD ASG 216,1 68312 95089
REMOVE KTS 708,5 94825 246554
SEARCH VSM 913,0 52083 4263
SEARCH XTG 597,6 67743 661289
UPDATE ORP XJV 60,1 89872 207555
REMOVE RIE 146,6 46675 621577
ADD BUA 864,8 25240 252440
ADD FDT 802,8 7812 806003
REMOVE KVG 969,8 43312 175512
UPDATE HLZ OEX 19,8 25900 303261
ADD WBD 936,7 95079 18713
ADD JTV 85,2 94418 945386
UPDATE OWT IFP 27,9 87347 651458
REMOVE JRA 833,7 37258 978704
REMOVE JTQ 312,7 60636 603096
UPDATE TGF WMR 63,2 61395 1280
ADD FYZ 623,0 17305 547982
SEARCH FLZ 963,8 76783 975251
REMOVE LEF 386,4 70608 491746
ADD JVO 240,1 93815 687694
SEARCH SOY 403,6 10278 481135
UPDATE CBT XFA 88,7 14678 860656
ADD LPP 557,1 85260 581075
REMOVE MYG 114,7 26286 649839
SEARCH RFA 748,3 46926 555376
REMOVE GKC 205,3 77989 567796
ADD XHM 294,5 99063 201741
SEARCH EOL 874,4 83849 92829
ADD EMK 579,4 27574 239180
REMOVE QTI 149,5 44350 942912
ADD YEL 473,7 88012 383554
UPDATE YTK IJL 45,1 95452 723660
REMOVE HAM 646,8 21914 417164
REMOVE ZKB 633,1 82846 550815
UPDATE AYS MOF 33,4 90636 532300
SEARCH GCQ 696,2 12217 49754
ADD SAE 961,4 33160 313039
UPDATE XHC YLA 57,4 69422 678481
REMOVE OSY 750,4 35574 384400
SEARCH RTY 326,9 74326 863142
UPDATE JCL JPJ 30,1 82572 614861
ADD SZE 566,4 6354 158403
UPDATE VEB EZR 21,4 5198 646442
REMOVE UQG 100,0 59821 525373
ADD LHK 285,6 81079 724232
REMOVE EVD 94,8 17485 936465
REMOVE JCA 733,1 92883 586105
REMOVE MPT 269,6 8046 247241
ADD NNI 747,2 69920 115353
SEARCH DUK 559,4 90468 385030
REMOVE CGI 992,4 7462 6830
ADD YZV 792,7 40783 838562
ADD ICK 175,6 57159 652129
ADD TMN 25,0 55623 459190
ADD STR 202,6 33547 285877
UPDATE PRB TWP 36,3 1839 41218
UPDATE EQU GYD 37,8 93578 306399
SEARCH SEC 714,7 76056 455118
ADD CUY 597,2 35990 934976
ADD BHE 32,4 89705 441007
UPDATE BBT CBC 55,2 99617 347174
ADD WQV 245,6 18520 517279
REMOVE FJC 149,2 73963 506174
SEARCH FEK 262,4 92072 616715
SEARCH HGA 869,5 76902 349738
REMOVE EYG 328,6 91366 336335
REMOVE JBU 109,5 12875 642401
UPDATE ICQ HRN 78,4 4909 381839
ADD SLH 590,9 60431 325235
REMOVE ILF 699,5 76527 563661
ADD SSR 615,9 33401 599387
SEARCH VLW 299,3 16003 928104
ADD NWW 807,0 56339 193901
REMOVE MFY 274,6 25534 391640
ADD NZZ 994,9 13308 432317
ADD ZRC 261,1 97940 681130
REMOVE TKV 414,9 8070 804685
ADD TZT 90,7 66212 90203
REMOVE KNW 940,3 8454 453945
ADD VXJ 370,6 72584 920443
ADD CSR 240,8 62895 265031
ADD XUY 64,7 27935 241130
UPDATE BAA TJQ 23,6 38143 720088
REMOVE XAK 963,3 27549 579867
SEARCH LPY 389,9 15745 689759
UPDATE RTE ROV 57,7 14426 818981
ADD MQR 590,4 27200 217567
ADD EAT 178,2 10394 68929
ADD JIF 867,7 7638 219785
SEARCH CRE 830,8 58729 497076
SEARCH QQI 109,4 17152 638896
ADD DTB 671,4 80644 518757
UPDATE JPD NXI 42,4 39391 635988
UPDATE NDO NOH 72,3 71110 441898
REMOVE CFS 26,1 55490 872571
ADD MEF 659,9 89303 635183
ADD AQB 181,5 1372 139039
REMOVE QWK 103,6 90587 553927
UPDATE SGM ZBI 1,5 17848 686307
ADD HAO 397,6 79074 706292
UPDATE MGG RGV 16,8 71743 996811
SEARCH UAU 104,0 60153 787108
SEARCH QAU 506,6 43695 187045
REMOVE NNQ 222,3 89965 178238
REMOVE DRF 757,2 52665 47392
REMOVE HDC 300,7 59317 19172
REMOVE DAJ 182,7 1659 755972
UPDATE JON GPK 21,9 2323 926200
ADD FYA 696,1 58831 592161
REMOVE UIN 704,5 97499 517908
REMOVE NFZ 265,3 26354 944131
ADD WMX 637,7 39855 829956
REMOVE WGK 591,1 37201 661526
REMOVE DFC 357,0 66472 926322
ADD ZFD 764,4 13280 518012
ADD YRP 933,8 5004 295347
UPDATE YBT LFJ 13,5 77793 230824
ADD HYS 408,3 94007 642495
ADD GYE 450,7 71824 880884
REMOVE IJM 98,9 78413 235188
ADD LZN 291,5 20368 329303
ADD TVL 503,0 88094 241588
REMOVE COW 7,1 82825 716701
SEARCH DTE 361,1 11327 462641
ADD UAC 928,7 55263 670669
REMOVE PMW 35,4 64277 122346
ADD VNP 885,1 4617 445249
REMOVE BLV 601,6 57880 910172
UPDATE DSE GTR 84,3 29288 899636
REMOVE YBI 958,7 6435 398373
SEARCH HCR 682,2 56873 669725
SEARCH IKT 145,0 45960 782857
REMOVE SGV 306,1 90148 883249
ADD DTL 543,4 54050 8452
UPDATE WEI BVF 77,4 84226 476760
ADD WPC 957,6 98329 670869
ADD VBX 955,8 24685 788277
REMOVE HYB 734,2 4127 922398
ADD VHO 334,1 77072 983674
REMOVE TRZ 283,7 83959 33821
REMOVE LAY 829,4 11386 189901
ADD RIU 454,1 2691 152418
ADD HGZ 322,7 25179 339120
ADD ISK 829,2 87568 6574
REMOVE AIK 765,4 51216 200621
ADD ZEL 39,4 97309 487561
ADD CGM 484,3 80675 941140
REMOVE OLV 641,7 49132 75545
ADD NQA 619,7 23307 511544
REMOVE XZG 761,7 87949 801075
ADD DTQ 670,6 69327 532648
SEARCH EFI 916,4 38429 629732
ADD UPR 411,1 78383 588007
SEARCH ZZB 770,2 5298 40862
SEARCH NXN 47,5 15234 755751
ADD UXY 206,3 91224 228286
REMOVE RBL 800,1 41617 232378
ADD CRY 177,1 3706 71668
SEARCH MGY 89,2 91250 254008
ADD YNW 681,7 74298 554936
REMOVE MSV 973,7 27583 518593
ADD UBW 706,8 24580 89073
ADD EBI 312,8 59297 597429
REMOVE BPU 577,5 76040 630227
UPDATE KTD FFB 9,4 79724 949680
ADD NJD 966,4 94072 97995
REMOVE ZNK 40,9 6421 804944
REMOVE WIB 292,0 44277 208559
UPDATE ZFH EUI 69,9 69545 328313
ADD QAG 961,8 37369 90950
UPDATE FLL NQQ 27,6 16065 239990
SEARCH BVR 7,5 30921 553874
REMOVE NGS 651,9 9450 743748
SEARCH LFY 942,5 7220 371188
UPDATE LIB OIG 45,1 45384 186534
ADD PBN 986,4 11797 488618
SEARCH TDZ 727,4 28368 154262
UPDATE KQL NHP 18,6 16444 207863
UPDATE ALG DNK 84,2 71215 383388
ADD ADX 673,4 53929 605908
REMOVE LLB 481,7 75850 780955
SEARCH ZBN 53,6 2716 796520
ADD GBL 807,7 92015 149346
ADD WYA 40,9 33928 991183
ADD JPL 185,7 31409 626647
ADD BPP 863,2 94110 35428
SEARCH DAK 121,3 71094 755483
ADD SYJ 80,7 38571 603906
REMOVE WGC 683,3 46663 77417
ADD TVU 603,3 48303 689328
SEARCH DLY 887,7 54959 905502
REMOVE SDP 442,9 86702 922519
UPDATE NWS KMS 61,5 28121 402007
REMOVE MPT 399,3 55556 221851
ADD UCR 769,8 38449 841166
REMOVE KTU 354,3 69009 622265
REMOVE JJI 368,0 93653 203831
REMOVE UIV 860,6 27160 47860
ADD OJC 821,6 21870 661495
REMOVE FKV 927,0 28489 308412
UPDATE HAL MWC 53,5 5501 60220
SEARCH EKS 803,6 29129 668011
ADD THH 768,8 94441 993622
UPDATE FTF OOE 76,9 43143 464831
ADD TRZ 986,0 80539 116233
ADD MSI 551,5 64869 252006
UPDATE VUW DCP 35,9 47871 431637
ADD USK 672,7 70511 87816
ADD YGQ 222,2 29648 714529
ADD XHC 676,9 59096 142450
ADD ILS 358,6 4681 374292
ADD RKA 957,8 52381 179867
ADD VDV 638,3 931 325389
REMOVE FME 348,2 71103 697055
ADD QXP 610,1 81279 142055
SEARCH YAI 729,4 10501 483868
ADD KEO 160,0 25830 524860
SEARCH ARO 676,4 42367 170085
UPDATE MTF WER 34,9 39313 481287
SEARCH ZUM 425,2 10093 646346
ADD CDO 868,6 56470 857337
ADD PKW 515,8 72260 359662
UPDATE EVZ CGZ 33,2 94532 750742
REMOVE GMH 245,0 87742 696915
UPDATE BNL VQE 47,4 34720 278893
SEARCH IGF 944,3 50611 300176
SEARCH XNL 206,1 68964 601573
ADD AJQ 698,7 68316 857457
REMOVE BBV 341,7 39382 297257
REMOVE SVG 584,5 24586 819885
SEARCH XRI 133,3 16922 273403
REMOVE LTZ 666,0 61344 922770
ADD TFX 433,9 14915 309070
ADD JRA 631,0 85218 133635
ADD JWC 43,9 31510 402148
ADD SNX 74,5 89572 233215
REMOVE EZO 153,4 19555 602917
ADD ECS 590,5 17701 448705
SEARCH YQQ 247,0 27311 993604
SEARCH XCZ 132,9 12669 904607
ADD MHX 903,0 68391 631538
ADD NSC 574,8 79494 367889
ADD RRU 68,4 44213 94188
ADD BPF 843,4 38311 228536
ADD WHB 901,4 65530 963454
REMOVE ETX 935,7 59983 941250
ADD KKZ 662,6 98530 895638
SEARCH NPU 402,1 37161 967192
UPDATE IPV PAH 14,2 45917 60417
ADD ZLJ 449,0 38295 857127
ADD XVF 157,8 67762 901158
REMOVE HAV 455,7 80073 395632
UPDATE XSU QYU 19,9 33699 235572
ADD OTR 824,1 50185 301482
REMOVE OCQ 726,0 84950 141133
ADD GMY 315,4 91452 742101
REMOVE QQL 127,1 45128 139923
SEARCH AKX 523,5 58732 281594
SEARCH IZN 664,7 94294 400035
ADD SAK 95,3 99489 962266
ADD JAI 982,9 20502 239066
REMOVE XBW 908,3 19901 416645
SEARCH FMF 460,5 61345 416822
SEARCH WMK 711,8 67936 287195
REMOVE EUQ 359,0 65233 533001
ADD WQC 897,4 62651 489608
REMOVE LPO 173,2 47002 933200
ADD ZJT 174,8 26340 23574
REMOVE PID 222,0 24924 377077
ADD LKZ 110,4 37853 670470
REMOVE SMF 260,7 5950 583842
REMOVE QNO 211,5 96134 751837
UPDATE EYU ZNT 57,8 80022 628540
UPDATE ERG IBR 73,6 70844 149414
ADD MOE 620,0 67803 235538
UPDATE IBT WJY 9,6 55192 160381
SEARCH ULI 686,7 89151 127367
UPDATE WKY PQJ 99,2 91733 538843
REMOVE CPN 512,0 25793 904514
ADD MAC 819,1 86413 822565
REMOVE ETQ 230,7 80907 126019
SEARCH HWE 263,6 67400 222896
ADD DFY 231,2 72769 287804
ADD STC 239,8 71746 206389
ADD ZDG 708,0 39074 136383
REMOVE XGR 985,2 21741 988350
ADD NKK 672,5 96170 824803
REMOVE CZX 316,3 96590 198963
SEARCH QOB 86,6 46637 103940
ADD CKD 989,7 19071 340369
ADD BEK 314,8 51084 781756
REMOVE EFH 415,0 96214 763086
UPDATE TOD HUB 41,9 82274 573965
REMOVE WDS 582,0 58129 698567
REMOVE AEO 988,4 15686 997251
UPDATE QIQ OCY 69,6 5317 972696
SEARCH JTQ 812,9 38593 954081
UPDATE CCF BWW 86,0 3596 735225
ADD OOS 247,8 31378 340103
ADD LTJ 242,1 2766 844188
ADD DOY 835,7 41452 49959
REMOVE MEZ 233,0 93616 107191
ADD NSN 219,1 98359 868448
ADD FTM 82,4 23617 883642
UPDATE QGZ FXS 81,7 310 328122
REMOVE ZGU 790,4 51820 492835
ADD EPQ 114,6 25193 690642
ADD RKX 172,2 25034 797346
REMOVE UQX 863,0 1515 216021
ADD DLN 920,1 27967 447095
REMOVE SRV 919,5 85030 609089
ADD OCO 848,0 63954 457549
ADD NVS 281,9 76946 541214
ADD CHG 480,0 57153 102311
ADD JXX 693,8 65160 431710
REMOVE WXB 971,6 37921 710136
REMOVE ULG 666,7 6963 666035
UPDATE MJB HBG 0,2 31478 147858
SEARCH SSX 871,0 70487 849943
SEARCH UGV 601,1 46511 521804
REMOVE DXN 145,3 95575 684002
ADD SFP 73,2 64397 596149
ADD ELJ 789,3 12171 398911
ADD SOX 855,7 19289 380376
UPDATE EDF PIY 28,7 50257 70960
REMOVE OPL 333,3 22695 625510
REMOVE OHV 650,7 32000 638320
ADD AVQ 856,2 42474 540829
REMOVE GRO 337,1 35376 784790
SEARCH YSS 503,1 73351 226822
REMOVE NHJ 737,7 2465 319016
ADD WBH 163,1 49326 844658
REMOVE UVH 273,1 63353 157333
SEARCH HGI 630,3 89054 573720
SEARCH UYM 34,3 89178 141868
SEARCH YPA 173,5 50017 315606
ADD HNG 582,4 96566 580890
REMOVE CNG 36,4 72044 324363
ADD BOX 137,9 36938 844210
REMOVE BBI 816,0 96978 290513
ADD NOC 14,0 10196 836059
REMOVE DBM 434,1 86723 16284
REMOVE NHB 634,2 20750 301521
REMOVE RUZ 298,1 83836 140303
ADD RVG 612,2 67007 681860
ADD SCG 383,6 81007 359877
ADD EPM 452,2 59744 365920
REMOVE UCE 113,5 28517 106472
UPDATE YBR GUF 65,2 97774 617939
ADD OXJ 589,3 14731 100357
REMOVE XMA 696,8 29964 446513
REMOVE UUY 162,1 34268 71429
ADD AGS 247,2 58815 678436
SEARCH PVE 589,8 58688 904290
REMOVE FBA 268,8 64362 757704
REMOVE OLA 7,9 92985 541521
SEARCH LVP 948,9 26485 838437
SEARCH DTA 136,8 41568 94674
REMOVE OQC 738,1 62916 640263
REMOVE SNR 233,3 549 473431
ADD OTN 972,2 35362 155151
REMOVE HNA 586,8 22 804863
ADD CJZ 108,7 47500 898483
UPDATE SWW EBG 62,9 10244 319753
ADD KQF 859,9 89970 932792
ADD WLA 27,6 95858 712766
UPDATE IWJ SPV 17,2 94823 275570
SEARCH VOG 669,8 27119 491737
SEARCH PIT 276,0 88328 422760
REMOVE LIB 286,6 31115 35254
REMOVE HEE 588,9 95456 930583
UPDATE YGZ JWW 3,2 38031 928040
REMOVE MCO 660,9 84617 714350
REMOVE ZIZ 756,3 11923 945411
UPDATE RHQ KXJ 92,9 3542 64117
UPDATE NUX ZWH 94,8 97706 315742
ADD PZO 797,5 35289 991489
REMOVE KPK 155,3 5981 354153
ADD HOS 318,5 77043 563275
REMOVE XEA 185,8 43411 578442
ADD IEF 953,9 28364 931482
SEARCH RTW 11,4 22624 125945
ADD YHJ 20,1 37341 916305
ADD XXM 275,2 3249 389032
SEARCH MCG 355,2 7876 415645
ADD VPQ 47,8 48311 869261
ADD OGN 15,3 38777 690360
ADD ISI 490,2 60097 443710
UPDATE AFK PLG 97,5 49880 581359
ADD DSD 290,7 23216 83624
SEARCH DCT 557,2 99545 111248
REMOVE ATV 404,8 96014 124849
REMOVE UDF 362,3 41148 405549
ADD XSW 76,8 49108 262133
ADD BRX 140,2 42166 344237
REMOVE UIY 554,3 23891 81254
REMOVE PBA 509,2 95068 104825
REMOVE BFD 108,9 50440 268490
REMOVE KLO 426,1 72095 729002
ADD PLV 132,9 51650 293831
ADD XQV 635,4 20499 43100
ADD RHX 496,2 31120 323934
ADD RAF 955,0 66380 965810
ADD TOU 42,6 87409 364264
UPDATE HEP VHU 85,9 90520 929097
ADD EOI 356,1 71541 536935
REMOVE PJO 878,6 95512 150374
ADD GHY 741,1 14501 684136
ADD LFC 251,0 76975 233149
SEARCH ZGO 75,4 70489 68064
ADD JTE 92,0 39250 810530
ADD SDV 325,7 6760 98854
REMOVE JRZ 580,4 8230 171372
SEARCH GHG 575,1 65613 729037
SEARCH PCG 103,2 99070 801246
REMOVE BKY 658,2 2874 471735
SEARCH WQG 841,2 66720 349343
REMOVE YFY 213,2 34593 226043
REMOVE TRS 403,7 48147 453294
SEARCH BGR 543,5 73764 158690
UPDATE VEV QCR 40,3 85881 151129
ADD FPT 228,3 44067 217091
REMOVE GVS 885,6 40877 505021
SEARCH CRN 873,0 61523 664938
REMOVE GMH 683,5 6858 112154
ADD URW 955,0 27007 297939
ADD AUL 754,4 74066 853604
SEARCH VEZ 449,9 12585 929658
UPDATE DDG BPG 38,1 11770 144171
ADD FNB 453,9 77783 289298
REMOVE RJA 562,2 99317 299942
REMOVE RFI 722,8 98981 277693
UPDATE HVC FUK 30,1 86844 338061
ADD DVV 340,6 19560 919782
ADD HVV 637,2 63043 948613
SEARCH OWT 75,3 9811 913653
ADD AXZ 366,4 22605 782866
REMOVE EWA 193,9 46899 57879
REMOVE PUS 361,9 27134 900283
UPDATE BKH CZV 24,2 92017 356313
REMOVE CRH 960,6 62644 337686
ADD PTB 53,1 32865 459257
REMOVE VBB 6,5 89562 180242
ADD UDZ 504,3 99770 713146
REMOVE YHX 861,4 68932 347290
UPDATE YCF NSL 23,2 35517 561228
ADD UEM 467,3 19823 9970
REMOVE MTE 900,2 24617 725705
UPDATE OKT PNE 58,1 84753 952045
UPDATE QCA KES 0,2 49304 218018
REMOVE YZG 928,4 80637 747614
ADD HUX 687,0 23169 266457
ADD EBZ 566,0 72109 519619
ADD LPG 213,3 27801 276134
REMOVE WGH 560,8 58277 30523
ADD WLP 131,7 28206 574593
UPDATE ZYN LMC 20,7 3440 960926
ADD UZB 248,3 64685 630027
ADD UQU 527,7 62298 184404
REMOVE BTF 119,2 32536 935213
ADD DFQ 661,6 42922 398886
UPDATE ULR UFG 22,5 40069 881301
ADD NVG 39,9 2281 233868
REMOVE RQD 552,3 74760 768159
REMOVE PSH 604,3 71715 976976
ADD WFP 174,4 47622 443433
REMOVE EOB 736,6 31429 697384
SEARCH IZW 468,8 13057 639936
ADD ZHO 518,7 64719 578166
UPDATE CEG YXB 23,3 82710 511207
ADD NOC 940,5 59089 298284
ADD MNH 291,0 71727 377784
ADD ABL 278,7 63045 486291
ADD ZDD 159,2 85635 865450
UPDATE KVN VWW 53,8 95072 249115
ADD VER 640,3 17747 535453
UPDATE ISY WAG 85,1 88041 35240
UPDATE MRI WQJ 52,3 20006 231708
ADD TAW 261,6 76373 593374
REMOVE YZZ 415,3 42584 875742
ADD IWR 459,4 46094 703246
REMOVE FTX 751,2 30840 529455
ADD ZSW 573,0 70331 886476
SEARCH RBK 112,9 34589 855112
ADD IYR 353,9 68420 415044
UPDATE VMY ARH 47,3 72979 838777
ADD JKO 663,2 95901 464238
ADD TRN 358,4 17365 465618
ADD BLI 644,8 71852 726160
UPDATE KDP WFE 13,1 855 689369
REMOVE MLG 601,5 13322 32209
SEARCH ODD 398,7 75168 996856
ADD EBD 183,9 34190 278350
REMOVE HHB 833,9 2270 758006
SEARCH PAS 593,6 64286 492001
ADD SLE 880,7 68261 600869
REMOVE WFS 224,2 33649 327957
UPDATE QVU INY 8,1 34016 192947
ADD UMQ 246,8 71650 230683
SEARCH SVY 153,1 35710 191365
REMOVE BDM 452,2 74087 561187
SEARCH JHM 490,1 93973 659804
REMOVE HLA 778,1 95815 586402
ADD MKF 945,3 23921 563321
REMOVE ZIP 479,6 52448 707690
REMOVE KSF 287,2 56758 454218
SEARCH QMC 937,6 62899 39384
ADD AEH 143,7 74691 379547
ADD UVH 331,0 27960 65714
ADD BHQ 629,9 22180 837567
REMOVE TFK 420,4 57954 697592
REMOVE DUA 910,9 11325 657531
SEARCH XCC 774,6 17474 557778
UPDATE HHV QQH 38,2 19543 698727
SEARCH ZTR 335,1 62763 770618
UPDATE DRQ AAA 65,2 41323 834350
REMOVE QWX 323,6 46557 557709
SEARCH KRX 384,6 24437 847538
SEARCH JOE 597,7 67960 673719
UPDATE XUT QAZ 41,9 43924 848109
REMOVE AWG 291,9 23257 878789
SEARCH ZFH 350,1 75630 66163
UPDATE TKH YYC 73,7 77338 293309
UPDATE HTQ MFB 37,5 27529 285747
REMOVE VZU 137,8 47020 392592
ADD RUO 170,7 72276 842167
SEARCH VEH 175,2 11937 676143
SEARCH OXO 812,6 78143 307419
UPDATE BVD VIB 96,0 53722 384344
REMOVE XKR 643,9 55968 9044
REMOVE DMW 286,7 53540 250214
ADD QOO 202,7 30794 885256
ADD XEA 349,5 13296 370515
UPDATE YSY ZQU 51,7 47676 809358
ADD OYY 641,9 63630 668054
REMOVE TYY 190,4 77833 628370
ADD XRE 94,3 63456 545838
REMOVE CJW 226,2 5519 667946
REMOVE HAS 414,7 93071 124989
SEARCH BSM 689,9 12863 85641
ADD POT 109,7 67738 499991
ADD HYI 236,2 82773 687106
ADD JEB 517,2 11220 883525
SEARCH FSB 898,6 87511 890472
ADD YUK 919,5 64723 70361
ADD CLW 110,8 46424 175093
REMOVE SIG 253,6 46253 68573
UPDATE LTS SBG 68,3 31788 668841
REMOVE AVK 746,2 26502 888647
REMOVE IFQ 424,9 33313 341092
REMOVE RKY 414,4 44941 504643
UPDATE FGW GBE 56,6 48636 484640
REMOVE HBZ 887,4 64624 925813
REMOVE PPP 63,8 44395 758414
ADD FIN 693,5 93582 897883
UPDATE TZP GXO 48,5 90005 93741
ADD JJF 524,7 52431 481965
ADD CYO 831,7 3191 873918
REMOVE UPN 983,0 12021 720099
ADD VTN 618,5 14547 180061
REMOVE YLW 916,5 71764 418397
ADD BTD 600,9 63006 151310
ADD UAB 244,9 53044 647385
ADD AVI 228,7 92593 592441
REMOVE LRC 557,8 95634 131569
ADD SJF 401,4 73093 965624
UPDATE CYQ MAD 36,8 87777 337162
ADD ZLW 6,3 28143 30093
SEARCH NXN 757,9 66247 527830
REMOVE YXV 503,8 21183 780544
REMOVE HHH 842,2 31125 710699
ADD FAD 294,2 80714 961905
SEARCH XVM 510,4 17864 765643
ADD GDU 689,1 8952 67358
ADD LNH 711,0 56694 873973
ADD FCT 4,6 21434 114754
REMOVE VLT 485,9 56539 30344
ADD FKH 823,0 5328 16874
REMOVE TQV 821,2 99656 985486
REMOVE HOQ 638,2 65415 114083
SEARCH PLA 514,6 36697 610999
REMOVE PBH 527,6 28745 377773
ADD XZI 56,1 46368 99570
ADD NVY 765,9 30564 1087
SEARCH GAZ 101,3 74527 27366
REMOVE QOA 354,9 41422 842787
REMOVE GWH 33,7 96643 173432
REMOVE TUY 842,3 2935 677167
ADD JUS 993,7 78039 505296
SEARCH VIW 803,5 84622 576899
ADD BBS 547,5 6136 870390
ADD NRS 175,1 31872 369320
ADD DZQ 411,7 76484 477180
ADD LDV 669,4 53154 765473
ADD OJQ 705,2 63371 84038
ADD GJG 637,5 58838 974047
UPDATE SAD GEL 88,3 41330 876258
REMOVE PLG 125,2 43297 617549
ADD FFG 357,8 25880 628059
REMOVE BSG 950,6 72067 421525
REMOVE PIC 650,9 73366 434553
UPDATE ONJ FGC 37,0 45972 874875
UPDATE HFQ AHJ 16,8 52419 891943
ADD WRW 557,8 85588 899029
REMOVE EIR 627,3 24308 910445
ADD QLK 561,8 41026 650751
UPDATE XTZ LDK 21,0 80538 221169
ADD GXP 611,4 74817 104983
REMOVE VXD 459,8 49938 623420
REMOVE VDN 759,4 9182 614876
ADD LWR 859,2 46305 11698
ADD NGK 153,6 85049 145358
ADD CJH 175,4 675 401860
ADD UEY 708,0 21238 183486
ADD HRL 237,3 12722 140410
REMOVE LSV 794,1 8373 145731
UPDATE JXO HWZ 83,7 14831 908520
SEARCH JKQ 746,2 77752 155505
ADD XUZ 677,9 42453 938227
REMOVE KNX 590,9 46170 278773
ADD HSF 72,1 31815 557953
ADD YYR 854,3 92162 278172
ADD YTN 632,4 27761 481618
ADD XQX 895,6 4341 219598
ADD LCQ 995,2 38487 755932
ADD GBQ 738,1 64325 223736
REMOVE QHB 448,9 25897 738584
ADD SFM 994,0 85353 346244
ADD PJX 243,2 1369 472963
SEARCH INM 292,6 13799 749275
SEARCH KNS 602,7 56278 712946
ADD UGZ 492,9 60605 230396
ADD PHH 557,9 70117 784523
UPDATE TQH JBO 80,7 53330 362949
ADD GDW 170,7 50301 969202
ADD MZG 242,8 47332 210487
REMOVE SPU 865,0 87286 645275
REMOVE QAQ 327,8 45959 321422
REMOVE OQU 513,3 75153 201673
UPDATE IKT MAI 85,2 65921 108332
ADD WVX 51,8 50547 345629
ADD FOW 98,2 24411 820516
REMOVE BZS 373,7 70708 794061
UPDATE PPW TCM 30,5 79445 420144
REMOVE PAY 966,1 40050 260531
UPDATE PSS JXK 85,6 48569 979380
UPDATE FRD NEQ 68,7 63230 635964
ADD ZDQ 588,5 39829 442448
ADD PHJ 42,4 24960 567688
REMOVE UZC 864,7 54659 805345
ADD FSX 719,6 99463 898342
REMOVE WMZ 954,8 17236 887722
UPDATE LZC KRA 51,3 42220 279381
ADD RRR 277,5 4314 382688
REMOVE HBB 436,5 55628 508379
REMOVE LGH 58,8 17079 11792
ADD PBA 640,4 59492 777984
ADD NJU 326,1 45993 931875
REMOVE ZHQ 761,5 43934 811482
ADD MGF 247,5 58077 997858
ADD AYC 148,5 46349 882336
UPDATE FJQ WLM 44,0 96660 115920
REMOVE CFZ 158,7 48345 997627
REMOVE WVQ 37,2 87051 344639
ADD AWM 683,7 78168 712431
REMOVE ULQ 964,9 22502 397651
ADD YRF 214,6 47640 148003
REMOVE DKQ 260,7 93757 846902
ADD KQE 889,6 74322 565365
SEARCH FIV 547,8 83287 852984
SEARCH BZP 451,9 5655 861652
REMOVE QHE 333,0 45525 575898
REMOVE IUS 839,7 68035 555901
UPDATE NXT TYR 18,2 38000 613230
ADD VZJ 554,2 20091 919565
REMOVE MSU 429,7 1240 625215
ADD PBW 673,8 76267 3485
REMOVE HCU 551,2 44841 725303
ADD TTM 179,4 59653 943000
ADD GTA 882,8 51623 61351
ADD PBC 32,2 54851 283425
ADD AVS 355,5 94699 581132
ADD KLU 112,3 52362 291891
ADD LWU 429,9 26064 783993
ADD WCQ 494,9 17642 652440
UPDATE WQM AYJ 83,8 24364 135097
REMOVE GTE 500,8 16430 489983
ADD NJD 967,6 69787 749718
SEARCH XVP 611,2 37360 142855
ADD JLM 764,7 25179 778615
REMOVE PAY 41,4 20919 529918
ADD POR 58,3 77778 724052
REMOVE GGC 735,0 41672 909418
SEARCH NDJ 974,1 73726 761738
REMOVE PKG 310,2 96573 228367
REMOVE WIC 513,2 68743 909738
SEARCH EPK 343,9 12688 841442
